repo	revision	tier	bytes	file_sha256	status	answer_sha256	skip
seara/rubert-base-cased-russian-sentiment	d09619927897994a405b7a087b2bb04c5921e3f7	full	3573652	7387f38566ca04a7358b754f9db934213b45de1f5a18d2161c603cbeb729c34b	ok	bcba379fc85eed632858e690d9141fa95170b29bab64596961c76b30696f89e4	-
sentence-transformers/all-distilroberta-v1	842eaed40bee4d61673a81c92d5689a8fed7a09f	full	1356047	7a6751507c44ab383cc8ba8ab97cd857d35025ff1b29162b1690cc5e0c6030e9	ok	b148ae47afaffc763e37b7897f4c8c1fb8af5c06737719eaa6d3c619890b9b78	-
sentence-transformers/all-MiniLM-L6-v2	1110a243fdf4706b3f48f1d95db1a4f5529b4d41	quick	466247	be50c3628f2bf5bb5e3a7f17b1f74611b2561a3a27eeab05e5aa30f411572037	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
sentence-transformers/all-mpnet-base-v2	e8c3b32edf5434bc2275fc9bab85f82640a19130	quick	466021	b8be2c30ba5dd723a6d5ee26d013da103d5408d92ddcb23747622f9e48f1d842	ok	1d1b5b492de47db4eea0a8549ececa9f5965191b2b71a68be25c157961440d94	-
sentence-transformers/distiluse-base-multilingual-cased-v1	826fee3d516ebb14987355af373f5b69101c7006	full	1961847	5b4e1a8171c81dfd666ae40265b9530c6e0b3d53923fe8ac493dcc84229adf81	ok	0d833174ceb4196a1b305ea666e42259b94d9a64373c43847eef0e8a60de584a	-
sentence-transformers/LaBSE	836121a0533e5664b21c7aacc5d22951f2b8b25b	full	9621556	d09046654dc5151fc313613f16768b6ecc1e5e3bddbc9c8aca209a5f23fe3cd3	ok	ae76d3d42bd8cbedd7b488021f407be68c2a1e19bc53ff0c27aee55dafe59ef9	-
sentence-transformers/msmarco-bert-base-dot-v5	dbf04e3911e5b11c887fe563d3f2479f81c4415f	full	466248	081419d86d3f6843c68074f7eefb82c9810048b9ddcf831b400a532bf9797f95	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
sentence-transformers/multi-qa-MiniLM-L6-cos-v1	b207367332321f8e44f96e224ef15bc607f4dbf0	full	466247	7fa9272f7ef1ebd1666bb3bfd9d4707660ff0076ca9d1671cd9a9c6e18e03331	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
sentence-transformers/multi-qa-mpnet-base-dot-v1	17997f24dca0df1a4fed68894fb0e1e133e60482	full	466021	0930eac956e241b04141ce21b990a5d818feb3be3c559357a4ef5cf261d086ce	ok	1d1b5b492de47db4eea0a8549ececa9f5965191b2b71a68be25c157961440d94	-
sentence-transformers/paraphrase-MiniLM-L3-v2	4ca70771034acceecb2e72475f72050fcdde4ddc	full	466248	a9576e4dadfe7f78f071a1c00ba6902cc83ec6ed7e9b590ee974950bd4d54393	ok	d983633b736583742c3f2e8a47dbcc1682d547da3f11d4cc64a9b0e6d30bd5cf	-
sentence-transformers/paraphrase-mpnet-base-v2	6cc9279c672dc57f94445ef259b28a1b736fec8f	full	466166	54205cec2fea7fb84b2bf16d0c99b8e3714ae7ce3961f3412945e8541073f1da	ok	dfd51e3627b48d72eb16efae87960b51b9d95510d7fdf0c6baa233fc009ffd82	-
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2	e8f8c211226b894fcb81acc59f3b34ba3efd5f42	full	9081518	2c3387be76557bd40970cec13153b3bbf80407865484b209e655e5e4729076b8	ok	b080643cfe7878023373042c938a8d30b37f24baf3a627d6904f02a1f99686e6	-
